O_ORDERKEY,O_CUSTKEY,O_ORDERSTATUS,O_TOTALPRICE,O_ORDERDATE,O_ORDERPRIORITY,O_CLERK,O_SHIPPRIORITY,O_COMMENT,edwLoadDate
3000001,145618,F,30175.88,1992-12-17,4-NOT SPECIFIED,Clerk#000000141,0,l packages. furiously careful instructions grow furi,01-01-2026
3000002,1481,O,297999.63,1995-07-28,1-URGENT,Clerk#000000547,0,carefully unusual dependencie,01-01-2026
3000003,127432,O,345438.38,1997-11-04,5-LOW,Clerk#000000488,0,n packages boost slyly bold deposits. deposits around the ironic th,01-01-2026
3000004,47423,O,135965.53,1996-06-13,4-NOT SPECIFIED,Clerk#000000004,0,nts wake carefully final decoys. quickly final accounts wake ,01-01-2026
3000005,84973,F,209937.09,1992-09-12,5-LOW,Clerk#000000030,0,yly after the quickly unusual ide,01-01-2026
3000006,135136,O,140186.32,1996-09-26,1-URGENT,Clerk#000000726,0,"ronic pinto beans use furiously final, slow notorn",01-01-2026
3000007,78841,F,298655.07,1992-04-13,5-LOW,Clerk#000000871,0,ses eat. deposits wake,01-01-2026
3000032,124576,F,175973.90,1992-03-02,1-URGENT,Clerk#000000460,0,lar deposits mold carefully against the dep,01-01-2026
3000033,30247,F,4635.38,1993-11-10,1-URGENT,Clerk#000000923,0,mes special packages nag quickly. ,01-01-2026
3000034,5498,F,348308.79,1992-04-21,1-URGENT,Clerk#000000418,0,"lly final packages are slyly beyond the requests! regular, even courts r",01-01-2026
3000035,1537,O,6243.05,1997-03-08,5-LOW,Clerk#000000817,0,fluffily ironic platelets sl,01-01-2026
3000036,28564,F,46059.51,1994-03-24,5-LOW,Clerk#000000908,0,"ding dinos. final, ironic dependencies across the ",01-01-2026
3000037,46702,O,191224.65,1998-07-22,5-LOW,Clerk#000000004,0,"ix slyly. bold, bold foxes haggle alongside of the slyly pending ideas. ",01-01-2026
3000038,106394,O,108690.62,1995-08-02,3-MEDIUM,Clerk#000000112,0," ironic, bold foxes nag quickly regula",01-01-2026
3000039,4087,F,149059.48,1993-05-15,1-URGENT,Clerk#000000518,0, packages according to ,01-01-2026
3000064,121798,O,60227.84,1997-11-09,2-HIGH,Clerk#000000477,0,he permanently express excuses. fluffily even foxes use ,01-01-2026
3000065,4583,O,119144.10,1995-06-21,3-MEDIUM,Clerk#000000640,0,"lyly fluffily even packages. special, ironic deposits w",01-01-2026
3000066,63059,O,50318.82,1995-06-20,5-LOW,Clerk#000000476,0,ages. accounts sleep quickly. unusual attainments around the carefully ,01-01-2026
3000067,71731,O,252017.25,1995-11-29,3-MEDIUM,Clerk#000000981,0, even asymptotes are after the instructions. furi,01-01-2026
3000068,30478,O,83440.47,1996-04-30,3-MEDIUM,Clerk#000000394,0,the even Tiresias cajole upo,01-01-2026
3000069,124780,F,204465.60,1994-01-11,1-URGENT,Clerk#000000549,0,totes cajole quickly. evenly ir,01-01-2026
3000070,1502,O,282985.48,1997-05-23,2-HIGH,Clerk#000000843,0,". slyly blithe requests integrate. enticing, silent deposit",01-01-2026
3000071,32704,O,53017.24,1996-04-28,1-URGENT,Clerk#000000617,0,y enticing ideas. regular deposits ,01-01-2026
3000096,50086,F,256949.58,1994-03-08,5-LOW,Clerk#000000513,0,heodolites serve fur,01-01-2026
3000097,134090,F,128591.36,1992-01-25,4-NOT SPECIFIED,Clerk#000000338,0,"rding to the final, regular package",01-01-2026
3000098,40955,F,204238.20,1993-03-20,1-URGENT,Clerk#000000008,0,carefully regular accounts are alongside of the,01-01-2026
3000099,121370,O,137195.73,1998-06-07,5-LOW,Clerk#000000571,0,the slyly express platelets. ,01-01-2026
3000100,1672,O,27752.50,1997-12-03,3-MEDIUM,Clerk#000000098,0, among the furiously final pains. bravely bo,01-01-2026
3000101,32965,F,41548.86,1993-10-31,5-LOW,Clerk#000000975,0,express deposits cajole fluffily blithely final de,01-01-2026
3000102,76229,F,84480.71,1992-07-26,1-URGENT,Clerk#000000364,0,ully across the slyly pending dependencies. silen,01-01-2026
3000103,18443,F,224386.24,1992-09-19,1-URGENT,Clerk#000000725,0,ly: final instructions hang along th,01-01-2026
3000128,64820,O,173210.37,1996-10-01,4-NOT SPECIFIED,Clerk#000000525,0,s the requests. slyly ironi,01-01-2026
3000129,116708,F,45573.34,1994-01-24,2-HIGH,Clerk#000000835,0,s impress alongside of the silent pinto beans. carefully regular accounts,01-01-2026
3000130,97072,O,261980.12,1997-11-04,1-URGENT,Clerk#000000577,0,"ts. ironic, ironic packages near the thin, even",01-01-2026
3000131,61201,F,45617.23,1993-02-18,5-LOW,Clerk#000000982,0,s. never even asymptotes kindle carefully furiously final asymptotes. fu,01-01-2026
3000132,45098,F,65123.13,1993-08-24,5-LOW,Clerk#000000660,0, the furiously final requ,01-01-2026
3000133,2737,F,169439.03,1993-03-20,4-NOT SPECIFIED,Clerk#000000182,0,ing dependencies cajole afte,01-01-2026
3000134,79576,F,218389.66,1995-01-28,2-HIGH,Clerk#000000472,0,cajole slyly. unusu,01-01-2026
3000135,11102,P,223432.46,1995-03-20,5-LOW,Clerk#000000191,0,furiously express deposits are ideas. regu,01-01-2026
3000160,133483,O,48537.09,1997-11-22,1-URGENT,Clerk#000000682,0,as wake carefully a,01-01-2026
3000161,21512,F,244815.34,1994-08-12,5-LOW,Clerk#000000815,0,egular dolphins. packages use fluffily even theodolites. quickl,01-01-2026
3000162,51400,O,9712.10,1995-09-26,4-NOT SPECIFIED,Clerk#000000556,0,kages mold boldly about the furiously special ,01-01-2026
3000163,24526,F,179022.52,1994-02-10,4-NOT SPECIFIED,Clerk#000000869,0,ithely quickly expr,01-01-2026
3000164,147946,O,92448.56,1997-01-19,1-URGENT,Clerk#000000408,0,theodolites. even deposits use slyly regular pinto beans. ,01-01-2026
3000165,107611,O,104787.96,1997-06-20,3-MEDIUM,Clerk#000000463,0,ash fluffily furious excuses. furiously final theodolites u,01-01-2026
3000166,61285,O,216512.80,1995-06-29,3-MEDIUM,Clerk#000000986,0,nal packages serve ironic,01-01-2026
3000167,90431,F,198027.25,1994-06-13,4-NOT SPECIFIED,Clerk#000000095,0,o beans. ironic ideas wake slowly slyly s,01-01-2026
3000192,61987,O,140123.69,1996-05-15,3-MEDIUM,Clerk#000000084,0,. slyly even requests alongside of the,01-01-2026
3000193,55609,O,250411.63,1998-03-29,5-LOW,Clerk#000000318,0,eed to sleep furiously-- quickly final deposits ,01-01-2026
3000194,104387,O,156088.17,1997-10-20,3-MEDIUM,Clerk#000000846,0,ons haggle quickly. accounts among the even deposits integrate slyly,01-01-2026
3000195,26449,F,57082.09,1995-03-03,3-MEDIUM,Clerk#000000189,0, use quickly among the furiously pending dependencies. blithely ir,01-01-2026
3000196,50902,F,236828.04,1993-06-17,1-URGENT,Clerk#000000378,0,lites haggle above the express dolphins. re,01-01-2026
3000197,52552,F,95273.62,1994-08-24,3-MEDIUM,Clerk#000000171,0,hely. ironic requests a,01-01-2026
3000198,17324,F,213889.60,1992-09-07,2-HIGH,Clerk#000000250,0,o beans haggle blithely. regular,01-01-2026
3000199,4886,O,145324.95,1996-01-21,4-NOT SPECIFIED,Clerk#000000063,0,sly pending deposits are permanently furious,01-01-2026
3000224,58726,F,149237.46,1992-06-08,3-MEDIUM,Clerk#000000456,0,rate according to the slyly special platelets. slyly ironic dolphi,01-01-2026
3000225,1021,O,103153.47,1998-07-28,1-URGENT,Clerk#000000209,0,ding to the quickly ironic theodolites. express multip,01-01-2026
3000226,59683,F,131562.00,1993-05-29,2-HIGH,Clerk#000000406,0,"mptotes nag carefully according to the regular, brave depos",01-01-2026
3000227,32780,F,235022.62,1994-06-05,4-NOT SPECIFIED,Clerk#000000600,0,sts haggle blithely alongside of the bravely ironic accounts. qu,01-01-2026
3000228,132364,F,48316.52,1992-03-09,4-NOT SPECIFIED,Clerk#000000545,0,ang slyly. unusual accounts boost blithely regula,01-01-2026
3000229,120799,O,314003.10,1996-10-24,4-NOT SPECIFIED,Clerk#000000007,0,"y even, final instructions",01-01-2026
3000230,8087,O,303863.87,1998-03-09,5-LOW,Clerk#000000689,0,e the carefully final ideas. slyly regular deposits are slyly ,01-01-2026
3000231,7108,O,236419.48,1997-09-03,1-URGENT,Clerk#000000243,0,"r theodolites use quickly furiously special deposits. unusual, even ideas",01-01-2026
3000256,32149,O,103391.31,1998-03-16,1-URGENT,Clerk#000000328,0,ly among the accounts. slyly ,01-01-2026
3000257,148376,O,330193.29,1996-04-04,2-HIGH,Clerk#000000875,0,", bold accounts. carefully bold theodoli",01-01-2026
3000258,146728,F,128727.92,1992-09-26,3-MEDIUM,Clerk#000000046,0, carefully final ideas. darin,01-01-2026
3000259,54917,F,41217.29,1993-09-16,3-MEDIUM,Clerk#000000958,0,"ecial, final theodolites are unusual, express",01-01-2026
3000260,29495,F,71343.53,1994-12-31,5-LOW,Clerk#000000924,0,s cajole slyly. doggedly ironic pint,01-01-2026
3000261,108329,F,221074.04,1994-09-17,2-HIGH,Clerk#000000691,0,pinto beans are slyly regular i,01-01-2026
3000262,126724,O,157173.15,1996-11-04,5-LOW,Clerk#000000584,0,riously final requests believe,01-01-2026
3000263,127222,F,220527.96,1993-03-19,5-LOW,Clerk#000000453,0,its are. carefully regular deposits boost,01-01-2026
3000288,97532,F,123352.39,1994-06-29,1-URGENT,Clerk#000000196,0,"ial, final orbits nag c",01-01-2026
3000289,19798,O,108525.38,1995-09-27,3-MEDIUM,Clerk#000000679,0,beans. carefully even reques,01-01-2026
3000290,18611,F,179863.33,1994-02-08,1-URGENT,Clerk#000000635,0, haggle furiously special pearls. furious theo,01-01-2026
3000291,35083,F,118735.34,1995-03-31,4-NOT SPECIFIED,Clerk#000000487,0,nal accounts cajole furiously ironic deposits. slyly regular t,01-01-2026
3000292,134816,O,114998.75,1997-05-13,1-URGENT,Clerk#000000922,0,. slyly final asymptotes above the caref,01-01-2026
3000293,97345,O,158910.54,1996-11-02,1-URGENT,Clerk#000000563,0,packages affix quickly despite the slyly express requests. careful,01-01-2026
3000294,20840,O,218593.40,1997-10-24,2-HIGH,Clerk#000000335,0,g to the regular requests. enticingly exp,01-01-2026
3000295,169,O,203842.12,1995-08-22,4-NOT SPECIFIED,Clerk#000000425,0,onic requests! slyly regular accounts wake ,01-01-2026
3000320,121366,O,105402.93,1996-12-08,4-NOT SPECIFIED,Clerk#000000994,0,requests unwind blithely against the sometimes fin,01-01-2026
3000321,95207,F,113964.71,1992-09-09,1-URGENT,Clerk#000000462,0,r deposits are carefully before the iron,01-01-2026
3000322,77284,F,297882.34,1992-12-25,2-HIGH,Clerk#000000064,0,ironic excuses detect. pinto b,01-01-2026
3000323,60511,F,220018.67,1994-03-27,1-URGENT,Clerk#000000020,0,carefully even deposits haggle carefully ir,01-01-2026
3000324,145336,F,211646.24,1993-03-31,3-MEDIUM,Clerk#000000354,0,"the regular, regular pinto beans. daring packages",01-01-2026
3000325,59032,O,273053.05,1997-12-27,4-NOT SPECIFIED,Clerk#000000820,0,y final dependencies outside the furiously final requests,01-01-2026
3000326,41866,F,135067.62,1993-09-01,1-URGENT,Clerk#000000717,0,ages. furiously final foxes according to the daring pinto beans wake never,01-01-2026
3000327,134278,O,33994.30,1997-03-22,1-URGENT,Clerk#000000824,0,"ies sleep despite the permanent, ironic foxes. regular instructions snooze ",01-01-2026
3000352,55928,F,173274.71,1992-10-05,4-NOT SPECIFIED,Clerk#000000629,0,unts. pending packages haggle blithely even deposit,01-01-2026
3000353,75319,F,191711.04,1993-11-12,3-MEDIUM,Clerk#000000589,0,"s? pending, unusual packages cajole silently after the special dependen",01-01-2026
3000354,23900,O,148048.45,1996-08-08,5-LOW,Clerk#000000711,0,y unusual deposits wake slyly. unusual excuses sle,01-01-2026
3000355,127138,F,169455.02,1994-04-23,1-URGENT,Clerk#000000175,0,atelets about the even inst,01-01-2026
3000356,27802,F,166514.72,1994-08-09,1-URGENT,Clerk#000000119,0,thely special deposits. slyly even packages sleep. slyly even platelet,01-01-2026
3000357,17800,F,183302.63,1993-01-19,2-HIGH,Clerk#000000879,0,"quests sleep blithely bold, ",01-01-2026
3000358,44107,O,95991.02,1998-03-20,5-LOW,Clerk#000000959,0," platelets. final, bold packages",01-01-2026
3000359,141742,O,66669.83,1997-11-28,3-MEDIUM,Clerk#000000571,0, beans. slyly final dolphins detect busily. fu,01-01-2026
3000384,96541,F,81462.06,1994-05-06,2-HIGH,Clerk#000000465,0," about the final requests! special, special",01-01-2026
3000385,6484,O,241310.98,1998-05-18,5-LOW,Clerk#000000352,0,"e even accounts. bold, pending instructions after the bold",01-01-2026
3000386,67507,O,92319.20,1997-10-04,3-MEDIUM,Clerk#000000598,0,"s. unusual, special deposits alongside of the blithely ironic ",01-01-2026
3000387,132388,F,192985.43,1994-07-09,3-MEDIUM,Clerk#000000108,0,ly among the regular in,01-01-2026
3000388,93740,O,237473.68,1997-09-09,3-MEDIUM,Clerk#000000473,0,ronically against the quickly ironic sentiments. slyly fin,01-01-2026
3000389,25927,O,10206.48,1995-06-14,2-HIGH,Clerk#000000895,0,nal instructions. hockey players nag ,01-01-2026
3000390,146521,O,98121.54,1995-06-09,1-URGENT,Clerk#000000073,0,he ironic deposits. blithely even ,01-01-2026
3000391,14602,O,59711.36,1998-05-29,2-HIGH,Clerk#000000872,0, ironic deposits cajole blithely furiously,01-01-2026
3000416,6269,F,53277.42,1992-10-04,5-LOW,Clerk#000000411,0,egular packages are quickly express deposits. closely regular foxe,01-01-2026
3000417,60637,O,138237.49,1998-04-20,5-LOW,Clerk#000000149,0,ests haggle. ironic excuses affix slyly against the furiously speci,01-01-2026
3000418,19499,F,35572.33,1994-03-29,4-NOT SPECIFIED,Clerk#000000073,0,stealthy theodolites use quickly sl,01-01-2026
3000419,118228,O,214868.34,1995-07-27,2-HIGH,Clerk#000000037,0,carefully pending instructions haggle c,01-01-2026
3000420,125749,F,203821.54,1994-07-04,1-URGENT,Clerk#000000966,0,eposits. quickly express instructions haggle about the express platele,01-01-2026
3000421,98167,F,76226.50,1994-02-12,3-MEDIUM,Clerk#000000289,0,y among the accounts. furious,01-01-2026
3000422,21241,O,222157.30,1996-04-15,5-LOW,Clerk#000000422,0,usly. carefully pending foxes are carefully. pinto beans a,01-01-2026
3000423,117988,F,59082.63,1994-01-20,4-NOT SPECIFIED,Clerk#000000562,0,d frets haggle. ironic,01-01-2026
3000448,2584,F,56472.52,1993-04-06,5-LOW,Clerk#000000536,0,ully final accounts run always through the express asym,01-01-2026
3000449,62750,O,25387.47,1997-06-18,3-MEDIUM,Clerk#000000658,0,ully carefully regular pint,01-01-2026
3000450,128572,O,55221.42,1996-11-27,3-MEDIUM,Clerk#000000365,0,lyly even foxes. blithely bold dependencies affix accounts. accounts,01-01-2026
3000451,148114,O,76867.66,1995-12-24,5-LOW,Clerk#000000655,0,"above the regular forges. ideas around the even, pending gifts wake bli",01-01-2026
3000452,95635,O,141993.77,1997-03-04,5-LOW,Clerk#000000966,0,"s. pending ideas use carefully among the ironic deposits. express, regula",01-01-2026
3000453,84673,F,106812.18,1992-10-25,1-URGENT,Clerk#000000466,0,ake express requests. stealthily express requests wake alongsi,01-01-2026
3000454,23644,O,115892.92,1996-03-08,5-LOW,Clerk#000000775,0,luffily express requests according to the even theodol,01-01-2026
3000455,9304,O,137006.99,1997-12-24,2-HIGH,Clerk#000000300,0, packages according to the quickly busy ideas boost carefu,01-01-2026
3000480,46009,O,368379.12,1996-04-30,4-NOT SPECIFIED,Clerk#000000348,0,e carefully against the carefully special ,01-01-2026
3000481,18047,O,61339.09,1997-05-29,3-MEDIUM,Clerk#000000556,0,cording to the even asympt,01-01-2026
3000482,2779,F,152805.30,1993-02-19,3-MEDIUM,Clerk#000000969,0, furiously regular asymptotes along the fluffily ironic ,01-01-2026
3000483,48730,O,10167.20,1996-02-25,2-HIGH,Clerk#000000494,0,"e special, regular requests. waters sleep deposits. iro",01-01-2026
3000484,140878,O,60198.08,1995-05-28,1-URGENT,Clerk#000000881,0,"dependencies boost even, quiet ideas. carefu",01-01-2026
3000485,136471,F,92375.41,1993-01-31,5-LOW,Clerk#000000800,0,inal theodolites after the regular deposits nag blithely re,01-01-2026
3000486,12958,O,234600.01,1996-09-07,2-HIGH,Clerk#000000004,0,ts. closely dogged ideas across the express pinto beans ar,01-01-2026
3000487,113611,F,154377.40,1992-11-02,2-HIGH,Clerk#000000234,0, boost slyly above the ,01-01-2026
3000512,88564,O,230191.56,1998-01-03,4-NOT SPECIFIED,Clerk#000000931,0, furiously pending platelets use carefully ,01-01-2026
3000513,14219,O,257483.46,1995-11-25,5-LOW,Clerk#000000785,0, final accounts wake quickly. blithely even reque,01-01-2026
3000514,19978,O,156335.29,1996-07-01,1-URGENT,Clerk#000000840,0,ully instead of the b,01-01-2026
3000515,40966,O,91257.97,1996-11-10,4-NOT SPECIFIED,Clerk#000000201,0,ve. carefully final pinto bea,01-01-2026
3000516,8803,O,148983.59,1996-01-30,4-NOT SPECIFIED,Clerk#000000384,0,n requests boost carefully across the quickly ,01-01-2026
3000517,50161,O,60228.05,1996-11-15,1-URGENT,Clerk#000000349,0,mptotes across the r,01-01-2026
3000518,24826,F,289817.42,1994-05-29,2-HIGH,Clerk#000000365,0,ular deposits are above the,01-01-2026
3000519,88238,F,99213.85,1992-01-25,2-HIGH,Clerk#000000304,0,"ar, regular theodolites wake slyly fu",01-01-2026
3000544,111013,F,165540.57,1994-03-17,5-LOW,Clerk#000000024,0,inal sauternes cajole c,01-01-2026
3000545,68374,F,98087.45,1994-08-10,2-HIGH,Clerk#000000640,0,y express packages. final foxes use blithely regular theodolites. ,01-01-2026
3000546,138221,F,108443.54,1992-12-13,5-LOW,Clerk#000000232,0,s. blithely special packages haggle quickly at the slowly ,01-01-2026
3000547,28175,F,259614.91,1994-12-21,4-NOT SPECIFIED,Clerk#000000588,0,s are blithely. slyly regular packages nag furiously. slyly even pa,01-01-2026
3000548,130825,O,25572.36,1998-03-06,2-HIGH,Clerk#000000333,0,"haggle ironic, bold accounts. permanently spec",01-01-2026
3000549,55264,O,59628.35,1998-03-17,1-URGENT,Clerk#000000694,0, regular attainments. pending requests should have to integrate.,01-01-2026
3000550,143990,F,183415.90,1992-01-31,1-URGENT,Clerk#000000594,0,ly regular dolphins. blithely spe,01-01-2026
3000551,82270,F,37577.04,1994-12-21,1-URGENT,Clerk#000000945,0,mold furiously across the slyly final pinto beans. furiously regular pl,01-01-2026
3000576,176,F,128014.05,1994-02-15,4-NOT SPECIFIED,Clerk#000000175,0,ily. slyly even instructi,01-01-2026
3000577,100957,O,42413.89,1997-07-12,3-MEDIUM,Clerk#000000870,0,ial accounts boost quickly. r,01-01-2026
3000578,124210,O,83820.34,1998-02-08,1-URGENT,Clerk#000000329,0,"ial, bold deposits about the packages cajole fl",01-01-2026
3000579,41330,F,135666.90,1994-09-04,5-LOW,Clerk#000000386,0, requests. special pinto beans wake furiously after the regular,01-01-2026
3000580,131125,F,131549.24,1993-11-11,1-URGENT,Clerk#000000001,0, wake slyly. blithely regular ideas sleep carefully. fl,01-01-2026
3000581,11807,F,113281.93,1992-03-20,5-LOW,Clerk#000000459,0,uriously regular pinto beans use slyly. close dolphins haggle furious,01-01-2026
3000582,129031,O,200699.32,1995-07-08,5-LOW,Clerk#000000600,0,efully bold theodolites. carefully f,01-01-2026
3000583,66031,F,297563.39,1993-12-08,2-HIGH,Clerk#000000546,0, above the always even depos,01-01-2026
3000608,62033,F,178420.62,1994-08-22,1-URGENT,Clerk#000000241,0,oxes. furiously even ,01-01-2026
3000609,81676,F,277796.04,1993-12-10,4-NOT SPECIFIED,Clerk#000000247,0,uests sleep always. even instructions sleep f,01-01-2026
3000610,57229,O,102511.36,1997-02-26,3-MEDIUM,Clerk#000000468,0,olites about the dogged deposits was ironi,01-01-2026
3000611,28000,O,11047.46,1996-06-04,3-MEDIUM,Clerk#000000630,0,s use blithely ideas. f,01-01-2026
3000612,27310,F,15768.00,1994-12-07,5-LOW,Clerk#000000917,0,dependencies cajole bold pinto bea,01-01-2026
3000613,118196,P,117526.76,1995-05-28,3-MEDIUM,Clerk#000000634,0,nal accounts. furiously special accounts use again,01-01-2026
3000614,69721,O,75776.24,1998-05-28,4-NOT SPECIFIED,Clerk#000000296,0,ns detect slyly among the requests. fur,01-01-2026
3000615,122552,O,158630.62,1997-04-02,3-MEDIUM,Clerk#000000286,0,c instructions are pa,01-01-2026
3000640,73483,O,231913.88,1997-12-07,3-MEDIUM,Clerk#000000099,0,otornis use slyly slyly blithe sheaves. furiousl,01-01-2026
3000641,72272,F,111994.00,1992-09-11,4-NOT SPECIFIED,Clerk#000000677,0,"fluffily pending deposits about the regular, ironic platelets thrash",01-01-2026
3000642,124591,O,176176.77,1998-05-24,5-LOW,Clerk#000000021,0,he slyly ironic requests,01-01-2026
3000643,140536,F,253258.22,1992-03-17,3-MEDIUM,Clerk#000000899,0,deas. even accounts slee,01-01-2026
3000644,69526,F,190741.27,1994-12-03,4-NOT SPECIFIED,Clerk#000000580,0,counts shall have to cajole. reg,01-01-2026
3000645,10003,O,237774.83,1997-12-08,5-LOW,Clerk#000000575,0, packages. unusual pinto beans about the packages haggle fluffily ca,01-01-2026
3000646,95854,F,11718.27,1993-08-31,2-HIGH,Clerk#000000620,0,s throughout the regularly ironic accounts kindle fluffily across the re,01-01-2026
3000647,139568,O,46450.86,1998-05-18,4-NOT SPECIFIED,Clerk#000000835,0,inst the pending requests. sp,01-01-2026
3000672,18169,F,179581.76,1992-07-24,5-LOW,Clerk#000000986,0,p slyly final gifts. fur,01-01-2026
3000673,106876,O,182977.69,1996-10-26,5-LOW,Clerk#000000422,0,"uests. ironic, final accounts use regular ideas. blithely bold requests are",01-01-2026
3000674,2722,O,89206.28,1998-07-20,5-LOW,Clerk#000000102,0,tions. silently regular ,01-01-2026
3000675,142555,F,232615.30,1992-04-27,2-HIGH,Clerk#000000955,0," sleep quickly. furiously bold packages along the final, final ",01-01-2026
3000676,89188,O,289951.56,1995-05-30,4-NOT SPECIFIED,Clerk#000000235,0,ts. ironic braids use fu,01-01-2026
3000677,26299,O,145238.35,1995-11-05,2-HIGH,Clerk#000000458,0,deposits above the regula,01-01-2026
3000678,102268,O,363868.68,1996-05-13,4-NOT SPECIFIED,Clerk#000000194,0,"ickly ironic ideas after the bold, unusual request",01-01-2026
3000679,95615,F,117659.14,1993-03-24,4-NOT SPECIFIED,Clerk#000000893,0,ly about the slyly final platelets. final instructions ,01-01-2026
3000704,45568,O,136411.78,1996-07-26,3-MEDIUM,Clerk#000000801,0," unusual excuses ought to nag. quiet, fin",01-01-2026
3000705,101743,O,127495.69,1997-07-16,2-HIGH,Clerk#000000775,0,nto beans. special reques,01-01-2026
3000706,139661,F,117510.12,1994-11-09,1-URGENT,Clerk#000000790,0,"ar dependencies hang blithely. ironic, expr",01-01-2026
3000707,69634,F,189379.87,1994-10-01,4-NOT SPECIFIED,Clerk#000000509,0,ys cajole furiously unusual rea,01-01-2026
3000708,16078,F,277994.22,1993-06-26,5-LOW,Clerk#000000155,0,tect carefully at the carefully final accounts. even deposi,01-01-2026
3000709,51571,F,58479.30,1994-04-27,4-NOT SPECIFIED,Clerk#000000779,0,"eodolites. sentiments sleep even, regular deposits. slyly un",01-01-2026
3000710,30781,O,305609.92,1996-05-09,5-LOW,Clerk#000000096,0,ntegrate quickly idly ironic instructions. theodolites solve quickly ironic,01-01-2026
3000711,118880,F,98205.73,1994-09-08,3-MEDIUM,Clerk#000000554,0,ages. furiously special exc,01-01-2026
3000736,10081,F,286426.32,1994-04-24,2-HIGH,Clerk#000000490,0,ely ironic requests haggle instead of the quickly regular requests. reque,01-01-2026
3000737,65285,F,49889.37,1993-04-09,3-MEDIUM,Clerk#000000444,0,nally even deposits above the furiously final pl,01-01-2026
3000738,132196,F,142111.50,1994-06-26,4-NOT SPECIFIED,Clerk#000000624,0,the even deposits nod carefully against the doggedly thin asympto,01-01-2026
3000739,8227,O,13234.08,1996-07-28,4-NOT SPECIFIED,Clerk#000000260,0,s use finally above the furiously ironic foxes. slyly quiet accounts acro,01-01-2026
3000740,115316,F,215044.02,1994-07-10,5-LOW,Clerk#000000955,0,r instructions cajole quietly up the furiously regular ac,01-01-2026
3000741,115744,O,136049.46,1997-05-07,2-HIGH,Clerk#000000105,0,ironic packages. theodolites sleep requests. quickly ironic instructions,01-01-2026
3000742,83858,O,224889.97,1995-07-25,5-LOW,Clerk#000000201,0,"equests wake about the final, regular deposits. ironic sentiments pla",01-01-2026
3000743,146947,O,233798.03,1996-08-26,5-LOW,Clerk#000000060,0,ld deposits against the ironic deposit,01-01-2026
3000768,121187,O,68179.36,1998-07-01,2-HIGH,Clerk#000000935,0,beans are. final instructions cajole bold,01-01-2026
3000769,74734,F,207084.71,1992-07-31,1-URGENT,Clerk#000000819,0,"ost quickly against the final, silent accounts-- blithely ironic ideas haggle",01-01-2026
3000770,101557,O,94196.13,1998-07-03,2-HIGH,Clerk#000000306,0,slyly final foxes cajole fluffily fur,01-01-2026
3000771,143809,F,307601.21,1992-07-03,3-MEDIUM,Clerk#000000244,0,slyly pending theodolites hagg,01-01-2026
3000772,19078,P,310543.48,1995-04-06,5-LOW,Clerk#000000147,0,ess accounts above the slyly final foxes sleep furiously acros,01-01-2026
3000773,75431,O,89298.20,1996-10-27,2-HIGH,Clerk#000000813,0,g accounts eat blithely carefully express deposits. carefully regular packa,01-01-2026
3000774,112603,F,208241.60,1993-11-04,3-MEDIUM,Clerk#000000696,0,efully even ideas. quickly close requests cajole slyly. platelets use qu,01-01-2026
3000775,106207,O,114493.94,1996-11-02,5-LOW,Clerk#000000965,0,he furiously fluffy requests. carefully final courts poac,01-01-2026
3000800,147764,O,233012.19,1998-02-24,2-HIGH,Clerk#000000292,0,"even theodolites cajole quickly against the final, fi",01-01-2026
